index,sentence,length
0,What possible ideas do you have for how a human species ends?,3.72
1,"Sure, so I think the most obvious way to me is wireheading.",3.14
2,We end up amusing ourselves to death.,2.04
3,We end up all staring at that infinite TikTok and forgetting to eat.,4.74
4,Maybe it's even more benign than this.,1.86
5,Maybe we all just stop reproducing.,1.82
6,"Now, to be fair, it's probably hard to get all of humanity.",4.22
7,"Yeah, the interesting thing about humanity is the diversity in it.",3.28
8,Organisms in general.,1.14
9,There's a lot of weirdos out there.,1.62
10,Two of them are sitting here.,1.0
11,"I mean, diversity in humanity is- We do respect.",2.88
12,I wish I was more weird.,2.46
13,"The following is a conversation with George Hotz, his third time on this podcast.",5.46
14,"He's the founder of Kama.ai that seeks to solve autonomous driving and is the founder of a new company called TinyCorp that created TinyGrad, a neural network framework that is extremely simple with the goal of making it run on any device by any human easily and efficiently.",19.5
15,"As you know, George also did a large number of fun and amazing things, from hacking the iPhone to recently joining Twitter for a bit as an intern, in quotes, making the case for refactoring the Twitter code base.",13.68
16,"In general, he's a fascinating engineer and human being and one of my favorite people to talk to.",5.16
17,This is the Lex Friedman Podcast.,1.88
18,"To support it, please check out our sponsors in the description.",2.56
19,"And now, dear friends, here's George Hotz.",3.22
20,You mentioned something in a stream about the philosophical nature of time.,4.96
21,So let's start with a wild question.,1.86
22,Do you think time is an illusion?,1.42
23,"You know, I sell phone calls to Kama for $1,000 and some guy called me and like, you know, it's $1,000, you can talk to me for half an hour.",11.12
24,"And he's like, yeah, okay, so like time doesn't exist and I really wanted to share this with you.",6.5
25,"I'm like, oh, what do you mean time doesn't exist, right?",2.54
26,"Like, I think time is a useful model, whether it exists or not, right?",3.92
27,"Like, does quantum physics exist?",1.7
28,"Well, it doesn't matter.",0.74
29,It's about whether it's a useful model to describe reality.,3.34
30,Is time maybe compressive?,2.62
31,Do you think there is an objective reality or is everything just useful models?,3.58
32,"Like underneath it all, is there an actual thing that we're constructing models for?",4.68
33,I don't know.,1.1
34,I was hoping you would know.,1.08
35,I don't think it matters.,0.76
36,"I mean, this kind of connects to the models of constructive reality with machine learning, right?",5.28
37,Sure.,0.32
38,"Like, is it just nice to have useful approximations of the world such that we can do something with it?",6.16
39,So there are things that are real.,1.56
40,Kolmogorov complexity is real.,1.36
41,Yeah.,0.52
42,"Yeah, the compressive thing.",1.72
43,Math is real.,0.3
44,Should be a T-shirt.,1.42
45,And I think hard things are actually hard.,1.66
46,I don't think P equals NP.,1.2
47,"Ooh, strong words.",1.06
48,"Well, I think that's the majority.",1.2
49,"I do think factoring is in P, but.",2.06
50,I don't think you're the person that follows the majority in all walks of life.,3.24
51,"For that one, I do.",1.36
52,"Yeah, in theoretical computer science, you're one of the sheep.",3.06
53,"All right, but to you, time is a useful model.",4.46
54,Sure.,0.24
55,What were you talking about on the stream with time?,2.74
56,Are you made of time?,0.88
57,I remembered half the things I said on stream.,1.78
58,"Someday someone's gonna make a model of all of it, and it's gonna come back to haunt me.",3.38
59,Someday soon?,0.6
60,"Yeah, probably.",0.5
61,Would that be exciting to you or sad that there's a George Hotz model?,4.16
62,"I mean, the question is when the George Hotz model is better than George Hotz.",3.42
63,"Like, I am declining, and the model is growing.",2.2
64,"What is the metric by which you measure better or worse in that, if you're competing with yourself?",4.42
65,Maybe you can just play a game where you have the George Hotz answer and the George Hotz model answer and ask which people prefer.,5.76
66,People close to you or strangers?,1.74
67,Either one.,0.6
68,"It will hurt more when it's people close to me, but both will be overtaken by the George Hotz model.",5.02
69,"It'd be quite painful, right?",1.94
70,"Loved ones, family members would rather have the model over for Thanksgiving than you.",5.14
71,like Or significant others would rather sext with the large language model version of you.,9.5
72,Especially when it's fine-tuned to their preferences.,2.18
73,Is it?,0.68
74,Yeah.,0.34
75,"Well, that's what we're doing in a relationship, right?",2.08
76,"We're just fine-tuning ourselves, but we're inefficient with it because we're selfish and greedy and so on.",4.26
77,"Our language models can fine-tune more efficiently, more selflessly.",4.06
78,"There's a Star Trek Voyager episode where Catherine Janeway, lost in the Delta Quadrant, makes herself a lover on the holodeck.",7.56
79,And the lover falls asleep on her arm and he snores a little bit.,5.26
80,And Janeway edits the program to remove that.,2.18
81,"And then of course the realization is, wait, this person's terrible.",3.54
82,It is actually all their nuances and quirks and slight annoyances that make this relationship worthwhile.,6.86
83,But I don't think we're gonna realize that until it's too late.,2.94
84,"Well, I think a large language model could incorporate the flaws and the quirks and all that kind of stuff.",6.54
85,Just the perfect amount of quirks and flaws to make you charming without crossing the line.,5.46
86,"Yeah, yeah.",0.84
87,And that's probably a good approximation of the percent of time the language model should be cranky or an asshole or jealous or all this kind of stuff.,14.4
88,"And of course it can and it will, but all that difficulty at that point is artificial.",3.74
89,There's no more real difficulty.,1.6
90,"Okay, what's the difference between real and artificial?",1.72
91,Artificial difficulty is difficulty that's like constructed or could be turned off with a knob.,4.16
92,Real difficulty is like you're in the woods and you gotta survive.,3.1
93,"So if something can not be turned off with a knob, it's real?",4.54
94,"Yeah, I think so.",1.12
95,"Or, I mean, you can't get out of this by smashing the knob with a hammer.",3.72
96,"I mean, maybe you kind of can.",1.44
97,"Into the wild when Alexander Supertramp, he wants to explore something that's never been explored before, but it's the 90s, everything's been explored.",9.98
98,"So he's like, well, I'm just not gonna bring a map.",1.46
99,Yeah.,0.4
100,"I mean, no, you're not exploring.",3.3
101,"You should have brought a map, dude.",0.96
102,You died.,0.42
103,There was a bridge a mile from where you were camping.,1.52
104,How does that connect to the metaphor of the knob?,2.18
105,"By not bringing the map, you didn't become an explorer.",3.54
106,You just smashed the thing.,2.24
107,Yeah.,0.2
108,Yeah.,0.22
109,The difficulty is still artificial.,1.58
110,You failed before you started.,1.28
111,What if we just don't have access to the knob?,2.14
112,"Well, that maybe is even scarier, right?",2.78
113,Like we already exist in a world of nature and nature has been fine-tuned over billions of years to have humans build something and then throw the knob away in some grand romantic gesture is horrifying.,15.94
114,"Do you think of us humans as individuals that are like born and die, or are we just all part of one living organism that is earth, that is nature?",10.9
115,I don't think there's a clear line there.,2.6
116,I think it's all kind of just fuzzy.,2.12
117,I don't know.,0.32
118,"I mean, I don't think I'm conscious.",1.12
119,I don't think I'm anything.,0.94
120,I think I'm just a computer program.,1.98
121,So it's all computation.,1.02
122,Everything running in your head is computation.,3.32
123,"Everything running in the universe is computation, I think.",2.4
124,I believe the extended church time thesis.,2.0
125,"Yeah, but there seems to be an embodiment to your particular computation.",3.84
126,Like there's a consistency.,0.86
127,"Well, yeah, but I mean, models have consistency too.",2.4
128,Yeah.,0.4
129,"Models that have been RLHF'd will continually say, you know, like, well, how do I murder ethnic minorities?",6.38
130,"Oh, well, I can't let you do that, Al.",1.36
131,There's a consistency to that behavior.,1.36
132,It's all RLHF.,1.18
133,Like we all RLHF each other.,2.32
134,"We find, we provide human feedback and thereby fine tune these little pockets of computation.",7.68
135,"But it's still unclear why that pocket of computation stays with you, like for years.",4.68
136,It just kind of falls.,1.18
137,"Like you have this consistent set of physics, biology, what, like whatever you call the neurons firing, the electrical signals, the mechanical signals, all of that, that seems to stay there.",14.96
138,"And it contains information, it stores information, and that information permeates through time and stays with you.",7.18
139,There's like memory.,0.72
140,It's like sticky.,0.86
141,"Okay, to be fair, like a lot of the models we're building today are very, even RLHF is nowhere near as complex as the human loss function.",7.1
142,Reinforcement learning with human feedback.,1.46
143,"You know, when I talked about will GPT-12 be AGI, my answer is no, of course not.",4.78
144,"I mean, cross-entropy loss is never gonna get you there.",2.24
145,You need probably RL in fancy environments in order to get something that would be considered AGI-like.,8.32
146,"So to ask the question about why, I don't know, like it's just some quirk of evolution, right?",5.4
147,"I don't think there's anything particularly special about where I ended up, where humans ended up.",7.18
148,It's okay.,0.36
149,We have human-level intelligence.,1.84
150,"Would you call that AGI, whatever we have, G-I?",2.96
151,"Look, actually, I don't really even like the word AGI, but general intelligence is defined to be whatever humans have.",7.22
152,"Okay, so why can GPT-12 not get us to AGI?",4.36
153,Can we just like linger on that?,1.54
154,"If your loss function is categorical cross-entropy, if your loss function is just try to maximize compression, I have a SoundCloud, I rap, and I tried to get ChatGPT to help me write raps, and the raps that it wrote sounded like YouTube comment raps.",14.48
155,"You can go on any rap beat online and you can see what people put in the comments, and it's the most like mid-quality rap you can find.",7.48
156,Is mid good or bad?,0.86
157,Mid is bad.,0.64
158,Mid is bad.,0.2
159,"It's like mid, it's like...",1.68
160,"Every time I talk to you, I learn new words.",2.1
161,Mid.,1.58
162,"Mid, yeah.",0.6
163,"I was like, is it like basic?",2.32
164,Is that what mid means?,0.88
165,"Kind of, it's like middle of the curve, right?",2.4
166,"So there's like that intelligence curve, and you have like the dumb guy, the smart guy, and then the mid guy.",6.62
167,"Actually, being the mid guy is the worst.",1.26
168,"The smart guy is like, I put all my money in Bitcoin.",1.8
169,"The mid guy is like, you can't put money in Bitcoin.",1.86
170,It's not real money.,0.82
171,And all of it is a genius meme.,2.92
172,That's another interesting one.,1.64
173,Memes.,0.52
174,"The humor, the idea, the absurdity encapsulated in a single image, and it just kind of propagates virally between all of our brains.",11.32
175,"I didn't get much sleep last night, so I sound like I'm high, but I swear I'm not.",4.4
176,Do you think we have ideas or ideas have us?,2.96
177,I think that we're gonna get super scary memes once the AIs actually are superhuman.,6.12
178,"Ooh, you think AI will generate memes?",2.08
179,Of course.,0.68
180,You think it'll make humans laugh?,1.36
181,I think it's worse than that.,1.68
182,"So Infinite Jest, it's introduced in the first 50 pages, is about a tape that you, once you watch it once, you only ever wanna watch that tape.",10.2
183,"In fact, you wanna watch the tape so much that someone says, okay, here's a hacksaw, cut off your pinky, and then I'll let you watch the tape again, and you'll do it.",7.04
184,"So we're actually gonna build that, I think, but it's not gonna be one static tape.",4.12
185,I think the human brain is too complex to be stuck in one static tape like that.,5.96
186,"If you look at like ant brains, maybe they can be stuck on a static tape.",2.74
187,But we're going to build that using generative models.,3.02
188,We're going to build the TikTok that you actually can't look away from.,2.66
189,"So TikTok is already pretty close there, but the generation is done by humans.",3.86
190,"The algorithm is just doing their recommendation, but if the algorithm is also able to do the generation.",5.22
191,"Well, it's a question about how much intelligence is behind it, right?",2.88
192,"So the content is being generated by, let's say, one humanity worth of intelligence, and you can quantify a humanity, right?",6.66
193,"That's a, you know, it's exaflops, yadaflops, but you can quantify it.",6.54
194,"Once that generation is being done by 100 humanities, you're done.",3.98
195,"So it's actually scale that's the problem, but also speed.",4.66
196,Yeah.,1.02
197,And what if it's sort of manipulating the very limited human dopamine engine for porn?,7.82
198,"Imagine just TikTok, but for porn.",2.1
199,Yeah.,0.44
200,That's like a brave new world.,1.38
201,"I don't even know what it'll look like, right?",2.02
202,"Like, again, you can't imagine the behaviors of something smarter than you, but a super intelligent, an agent that just dominates your intelligence so much will be able to completely manipulate you.",13.46
203,Is it possible that it won't really manipulate?,2.92
204,It'll just move past us?,1.2
205,It'll just kind of exist the way water exists or the air exists?,4.48
206,You see?,0.54
207,And that's the whole AI safety thing.,2.16
208,It's not the machine that's going to do that.,2.7
209,It's other humans using the machine that are going to do that to you.,2.66
210,Because the machine is not interested in hurting humans.,2.6
211,"The machine is a machine, but the human gets the machine.",3.48
212,And there's a lot of humans out there very interested in manipulating you.,3.18
213,"Well, let me bring up Eliezer Yudkowsky, who recently sat where you're sitting.",6.26
214,He thinks that AI will almost surely kill everyone.,4.16
215,Do you agree with him or not?,1.82
216,"Yes, but maybe for a different reason.",1.86
217,Okay.,1.08
218,"And then I'll try to get you to find hope where we could find a no to that answer, but why yes?",8.92
219,"Okay, why didn't nuclear weapons kill everyone?",2.48
220,That's a good question.,0.64
221,I think there's an answer.,1.12
222,I think it's actually very hard to deploy nuclear weapons tactically.,2.46
223,It's very hard to accomplish tactical objectives.,2.92
224,"It's great, I can nuke their country.",1.56
225,I have a irradiated pile of rubble.,1.92
226,I don't want that.,0.78
227,Why not?,0.32
228,Why don't I want an irradiated pile of rubble?,2.14
229,For all the reasons no one wants an irradiated pile of rubble.,2.54
230,"Oh, because you can't use that land for resources.",4.08
231,You can't populate the land.,1.1
232,"Yeah, what you want, a total victory in a war is not usually the irradiation and eradication of the people there.",7.64
233,It's the subjugation and domination of the people.,2.08
234,"Hmm, okay, so you can't use this strategically, tactically in a war to help you, to help gain a military advantage.",9.86
235,"It's all complete destruction, right?",2.68
236,Yeah.,0.2
237,But there's egos involved.,1.1
238,It's still surprising.,0.72
239,Still surprising that nobody pressed the big red button.,2.12
240,"It's somewhat surprising, but you see, it's the little red button that's gonna be pressed with AI that's gonna, you know, and that's why we die.",9.88
241,"It's not because the AI, if there's anything in the nature of AI, it's just the nature of humanity.",5.9
242,What's the algorithm behind the little red button?,2.38
243,"like, What what possible ideas do you have for how a human species ends?",4.72
244,"Sure, so I think the most obvious way to me is wireheading.",4.82
245,We end up amusing ourselves to death.,2.06
246,We end up all staring at that infinite TikTok and forgetting to eat.,4.96
247,Maybe it's even more benign than this.,1.84
248,Maybe we all just stop reproducing.,1.82
249,"Now, to be fair, it's probably hard to get all of humanity.",4.26
250,"It probably- This is always going, like the interesting thing about humanity is the diversity in it.",5.68
251,Oh yeah.,0.24
252,Organisms in general.,1.14
253,There's a lot of weirdos out there.,1.64
254,Well- Two of them are sitting here.,1.18
255,"I mean, diversity in humanity is With- due respect.",2.98
256,With due respect.,0.52
257,I wish I was more weird.,2.52
258,"No, like I'm kind of, look, I'm drinking smart water, man.",1.9
259,"That's like a Coca-Cola product, right?",1.38
260,"You're one corporate, George Haas.",1.66
261,I'm one corporate.,0.44
262,"No, the amount of diversity in humanity I think is decreasing, just like all the other biodiversity on the planet.",5.9
263,"Oh boy, yeah.",1.12
264,Right?,0.2
265,"Social media's not helping, huh?",1.32
266,Go eat McDonald's in China.,1.08
267,Yeah.,0.42
268,"Yeah, no, it's the interconnectedness that's doing it.",4.46
269,"Oh, that's interesting.",0.7
270,"So starts everybody relying on the connectivity of the internet, and over time, that reduces the diversity, the intellectual diversity, and then that gets you, everybody into a funnel.",10.62
271,There's still going to be a guy in Texas.,1.5
272,"There is, and yeah.",1.56
273,In a bunker.,0.44
274,"To be fair, do I think AI kills us all?",2.36
275,I think AI kills everything we call society today.,3.3
276,I do not think it actually kills the human species.,2.02
277,I think that's actually incredibly hard to do.,1.96
278,"Yeah, but society, like if we start over, that's tricky.",3.32
279,Most of us don't know how to do most things.,2.24
280,"Yeah, but some of us do, and they'll be okay, and they'll rebuild after the great AI.",6.32
281,What's rebuilding look like?,1.38
282,"Like, how much do we lose?",2.16
283,What has human civilization done that's interesting?,3.66
284,"Combustion engine, electricity?",1.78
285,"So power and energy, that's interesting.",2.0
286,Like how to harness energy.,1.28
287,"Whoa, whoa, whoa, whoa.",0.86
288,They're gonna be religiously against that.,1.7
289,Are they going to get back to like fire?,3.3
290,"Sure, I mean, it'll be like, you know, some kind of Amish-looking kind of thing, I think.",5.48
291,I think they're going to have very strong taboos against technology.,3.18
292,Like technology is almost like a new religion.,2.9
293,Technology is the devil.,0.94
294,And is nature God.,1.42
295,Sure.,0.58
296,So closer to nature.,0.86
297,But can you really get away from AI if it destroyed 99% of the human species?,4.28
298,"Isn't it somehow have a hold, like a stronghold?",3.48
299,"What's interesting about everything we build, I think we're going to build super intelligence before we build any sort of robustness in the AI.",7.84
300,"We cannot build an AI that is capable of going out into nature and surviving bird, like a right?",8.22
301,A bird is an incredibly robust organism.,3.22
302,We've built nothing like this.,0.94
303,We haven't built a machine that's capable of reproducing.,2.2
304,Yes.,0.72
305,"But there is, you know, I work with like robots a lot now.",4.38
306,I have a bunch of them.,0.74
307,They're mobile.,1.54
308,"They can't reproduce, but all they need is, I guess you're saying they can't repair themselves.",5.94
309,"But if you have a large number, if you have like 100 million of them.",2.32
310,"Let's just focus on them reproducing, right?",2.4
311,They have microchips in them.,0.9
312,"Okay, then do they include a fab?",2.08
313,No.,0.86
314,Then how are they going to reproduce?,0.92
315,"Well, it doesn't have to be all on board, right?",3.7
316,"They can go to a factory, to a repair shop.",2.7
317,"Yeah, but then you're really moving away from robustness.",3.18
318,Yes.,0.3
319,All of life is capable of reproducing without needing to go to a repair shop.,4.04
320,Life will continue to reproduce in the complete absence of civilization.,3.48
321,Robots will not.,0.84
322,"So when the, if the AI apocalypse happens, I mean, the AIs are going to probably die out because I think we're going to get, again, super intelligence long before we get robustness.",10.04
323,What about if you just improve the fab to where you just have a 3D printer that can always help you?,7.74
324,"Well, that'd be very interesting.",0.92
325,I'm interested in building that.,0.98
326,Of course you are.,1.42
327,"You think, how difficult is that problem?",1.52
328,To have a robot that basically can build itself.,5.0
329,"Very, very hard.",0.88
330,I think you've mentioned this to me or somewhere where people think it's easy conceptually.,7.1
331,And then they remember that you're going to have to have a fab.,2.88
332,"Yeah, on board.",1.34
333,Of course.,0.32
334,So a 3D printer that prints a 3D printer.,2.66
335,Yeah.,0.34
