index,sentence,length
0,"Okay, I've used the new Apple Vision Pro.",4.54
1,I had about a 30 minute demo just using this new headset.,4.26
2,"I had about a trillion questions, so I tried to ask as many of them as I possibly could of Apple to get all the answers I could for you and for myself.",6.64
3,"So without any further ado, let's just jump right in.",2.26
4,This is everything you need to know so far about Apple's new AR VR headset.,6.12
5,"So the first question, naturally, what is it?",3.24
6,"So first things first, this is a first generation device from Apple which we don't see very often, but it is an augmented reality slash virtual reality headset with a bunch of cameras and sensors inside that you strap to your face.",12.6
7,"It'll start at $3,500 and it'll go on sale starting sometime early next year.",6.1
8,"Nobody's been able to shoot video of using it yet, so I'm going to have to do my best with descriptions here, but fundamentally, this isn't something that's paired to your iPhone or your Mac by default.",10.82
9,"It's a standalone computer with an M2 chip inside, its own Wi-Fi connection, a roughly 4K micro OLED display for each eye, a set of speakers right above each ear on the band, and then a dedicated new R1 chip, which is doing all of the real time processing from all the sensors that make this headset pretty special, but we'll get to that in a second.",20.7
10,"So all right then, how does it work?",2.4
11,"Well, basically, we've seen VR headsets and AR headsets before.",3.56
12,"It's typically, there's screens on the inside and then on the outside, there's some sort of shell which has some sensors on the outside that help detect what is in your room around you and help to see the controllers in your hands, but with this one, there are no controllers at all.",14.1
13,They're not making any for it.,1.02
14,There aren't going to be any optional accessory.,1.6
15,They're not even going to design any controllers.,1.32
16,You are controlling this thing entirely with your hands and your eyes and your voice.,6.14
17,"So you put this headset on and basically all over the headset, there are an absolute ton of sensors.",5.52
18,"You have two main forward facing cameras, two downward facing cameras, two more cameras for the sides, two infrared illuminators, a LiDAR scanner, a true depth camera.",10.46
19,These are all to keep track of what's happening around the headset and also to track your hands in front of your face.,5.94
20,"And then on the inside, there's also a bunch of infrared illuminators and infrared cameras that are purely there, just there to track your eyes.",9.48
21,So there's actually a setup process before you even get the headset.,2.52
22,"You basically measure, you sort of scan your face with the true depth camera on the iPhone and it uses that depth information about your face to give you a sort of a custom cutout.",7.68
23,"This will be a process that you can do in Apple stores, but basically you get the headset with the custom cutout for your face.",5.54
24,"If you have glasses, there are some Zeiss lenses, but you finally get the headset out and you put it on and there's some nice meshing on the back, some fabric that stretches and is pretty breathable.",10.16
25,It's built extremely well with all this metal and glass.,3.68
26,"And then once you get it going, the most impressive thing about this headset, the most impressive thing is the eye tracking.",6.04
27,I'm not even kidding.,0.98
28,This eye tracking is sick.,1.82
29,"So basically the eye tracking in this headset, as it looks at your eyes and keeps track of where your eyes move around is the closest thing that I've experienced to like magic.",10.16
30,"Like I don't, I normally don't call tech things sort of magical or surreal like this, but this was even for a pre-release product, kind of unbelievable how well it does.",9.62
31,"Anytime you move your eyes around the UI, it would immediately highlight and select exactly what you're looking at, no matter how small the target was or what you're looking at.",8.14
32,"And then when you want to select something, all you do is take your fingers like this and just touch them together.",5.94
33,That's how you click.,0.96
34,"So you look at something, click, look at something, click.",2.84
35,"So there's actually, there's a calibration process.",1.52
36,"When you first set up the headset, you put it on for the first time where you basically just look around with your eyes at a bunch of different dots.",6.3
37,So it learns your eyes.,1.22
38,"And then, yeah, from that point on, you're just cruising, you're sailing through everything by just looking at things and it feels like telepathic.",7.34
39,You just look at something and select it and that's it.,2.54
40,So this is how the whole UI works.,1.82
41,"Pretty much every other headset has the ability to use your hands to select things, but most of them rely on the sensors on the outside to keep track of a set of controllers for maximum accuracy.",10.78
42,"But this massive array of sensors on the outside of Apple's headset have done an impressively good job of picking up what my hand is doing, kind of no matter where it is.",8.38
43,"So like I said, there's sensors all the way around the thing.",1.68
44,"They're facing forward, but they're facing sideways and facing down.",2.58
45,So I can just kind of rest my hand like wherever and look at stuff and click.,4.36
46,I don't even have to move my head.,1.04
47,I can just look at something and just click my fingers.,2.38
48,I kind of did it by accident a few times.,1.54
49,Like I'd just sort of be sitting there and my fingertips would actually touch and I'd select whatever I was looking at.,4.8
50,"But pretty quickly you get used to just this, just doing this.",4.42
51,"Now there are also some text boxes occasionally you want to type something and so you can look at the text box, select it, and then a keyboard will pop up and you can look at the letters.",7.64
52,But also you can just look at a search box field and just start talking and it'll start filling in whatever you're saying because there's microphones on the headset.,7.02
53,"And there is also something they're calling Optic ID, which is basically kind of just the fingerprint ID of the headset because it's looking at your eyes and everyone's eyes is a different, unique biometric pattern.",11.18
54,And so you log in just by putting the headset on and it looks at your eyes.,2.62
55,"So Optic ID, this thing knows your eyes really well.",2.32
56,So you've probably seen all these weird looking frames where you can see people's eyes through it.,6.0
57,"Like this, this super weird thing that I've never seen in any other headset.",4.26
58,So what is happening here?,1.72
59,"Well, spoiler alert, it's not actually transparent.",2.6
60,"It kind of looks like it's a glass transparent thing, but it's not.",2.58
61,It appears to be because there's actually an OLED screen facing out.,4.5
62,This is what I would call a two-way pass through.,3.44
63,That's what I'm calling it.,0.7
64,See a normal VR headset we've seen is of course completely opaque.,3.72
65,Usually it's like black plastic or something like that.,2.08
66,"So in order to see through to your actual environment without taking the headset off, like for picking up your controllers or walking around a room without hitting a wall, they have a pass-through mode.",10.36
67,So it'll turn on a camera on the outside so you can see what's going on around you.,4.12
68,And some pass-through modes are better than others.,1.58
69,Some will do it from a single black and white camera.,2.48
70,Some will do stereo pass-through from two cameras.,2.4
71,Some will do color pass-through.,1.28
72,"The pass-through on Apple's headset is again, the best I've ever seen in a headset.",6.26
73,"It's stereo, it's color, it's sharp, it's real time.",3.2
74,It's really good.,0.88
75,So then the eyes you see from the outside are actually an OLED display showing what your eyes look like to the cameras inside the headset.,9.28
76,So it shows your eyes like this whenever you're using any sort of pass-through mode.,4.24
77,"And if you can see your environment, it'll show your eyes.",2.68
78,"So you're not actually like looking at someone's eyes, but it kind of feels like you are.",3.9
79,Kind of creepy a little bit.,1.64
80,I don't know.,0.34
81,It's the simplest way of explaining it.,1.4
82,"If they're doing something fully immersive in VR, like watching a movie or playing a game, then it won't show their eyes.",5.86
83,It'll show this graphic over their eyes instead.,2.46
84,It's a really interesting look.,3.22
85,It's a bold look.,1.1
86,I just have this thought of like you're on an airplane and the flight attendant walks up and taps you.,5.36
87,"Hey, do you want any water?",0.9
88,"And you just look up and your eyes shine through the headset, which is just a weird thing.",4.44
89,"I don't think it's smart, but I don't think other headsets are going to do it because most of them don't have it in the budget to have a screen facing the outside.",7.84
90,But then let's get to the burning question.,1.36
91,"You've probably already been thinking, what does it actually do?",3.82
92,So okay.,0.4
93,"I'm sort of, I'm separating this into three bulk categories that I made up and I'm kind of proud of here, which are computing, content, and connections.",8.44
94,Now actually I should preface this all by saying this is a first gen product.,4.74
95,So right now the only apps that show up on the home screen are Apple's apps.,4.74
96,"Just like when the first iPhone came out with no app stores, just Apple's apps.",3.66
97,"But the reason this is coming out or at least getting announced so early, but it's not coming out until next year is to give this window for developers to start developing their own apps and making cool things for this headset to do that are way more interesting and way more functional, but it does have a core set of functions.",15.82
98,"So for computing, I think this is the one that's probably the least likely to be used by most normal people, but it is a pretty direct shot at what Meta just did with the Quest Pro, the $1,500 Quest Pro.",11.12
99,"So you can use this thing as its own computer with web browsing, et cetera, with these 4K windows in front of you that you can move around and do all kinds of stuff with your hands.",8.66
100,Now this will be its own OS.,1.78
101,"Again, it's not running off your phone or anything.",1.82
102,It's running a whole new operating system called Vision OS.,3.42
103,"And it seems pretty similar, pretty similar to iPad OS, just in the fact that, you know, you're just touching things in iPad OS and in this headset, you look at something and then you touch your fingers together and that's basically just like a normal touch.",12.28
104,But I was really impressed with the responsiveness.,2.24
105,"Again, this was better than any headset I've seen with just your hands.",2.76
106,"If I wanted to scroll through something like a safari window, I literally in air would touch my fingers together and drag the window and it would scroll nearly in real time.",11.24
107,"I would like throw it around, like toss it, catch it, toss it the other way and start scrolling through things with my finger, resizing windows, dragging the corners of things.",8.8
108,And I was super impressed with that too.,2.06
109,"Now, if you're like me, you might've also had some questions about the sharpness.",2.32
110,Like do I really want to wear something like this for a long time to work like it's on a computer?,4.48
111,And I think that was also pretty smartly addressed.,2.12
112,They use a selective rendering based on the super good eye tracking.,3.58
113,So the computing power is basically focusing on sharply rendering the part of the screen that you're actually looking at while saving power on the rest.,8.56
114,It's pretty cool.,0.84
115,And it works so quickly that I did not notice it while using it.,3.16
116,And then the part you're looking at is actually very sharp.,2.94
117,"Like I said before, they're super high resolution screens, they're 4K.",2.34
118,"I don't know if I have a number for refresh rate, but it felt like 120 Hertz.",3.34
119,"And you know, eye fatigue will eventually become a thing with any headset you strap to your face.",4.7
120,But this would be on the lower level of eye fatigue compared to what I've experienced with some others.,3.94
121,"And then for even more heavy work, this is kind of nuts, but they showed it in the keynote.",2.74
122,"Apparently, if you have a Mac and you want to do Mac OS stuff, you can just with the And it'll mirror the Mac's display as one of the 4K windows for you in the headset.",13.04
