index,sentence,length
0,Sam Beckman Freed is facing 115 years in prison for fraud and I flew to New York City to watch it all happen live.,7.66
1,We'll be breaking it all down here in the $40 million Bahama penthouse.,3.68
2,"What happened with FTX, who the big players are, and everything about this trial start to finish.",5.42
3,"But first, let me be honest, this is not a quick story.",3.66
4,"I'm going to simplify but try not to oversimplify, which is difficult given that there are a thousand pages of transcripts and government evidence.",7.9
5,"So to tackle this, here's what I'm going to do.",2.24
6,I'm going to give you the prosecution and defense's arguments in order as the jury would hear them.,4.38
7,Two competing visions for what happened with FTX.,2.78
8,Then we'll give you the witness testimony that ultimately will decide the fate of one of the largest frauds we've ever seen.,5.28
9,And you at home can decide what you believe.,2.76
10,Is Sam innocent or guilty?,1.86
11,Let's get started.,0.76
12,"All right, this is pretty boring.",1.78
13,They just selected the jury.,0.98
14,"All right, this is where things get more interesting.",2.38
15,We got opening statements today.,1.4
16,"The prosecution's arguments is basically that Sam Begman-Freed created an elaborate fraud using two companies, FTX, where customers could go deposit their money, and Alameda Research, which then stole that money from FTX.",12.76
17,"Now, on the surface, Alameda was a trading firm and a market maker.",3.26
18,"Both FTX and Alameda were controlled by Sam, but it kind of looked like they were separate entities.",5.84
19,"They were both successful, but separate.",1.9
20,"Now, that wasn't true.",0.88
21,"The companies weren't separate, and Alameda Research got special privileges, which they used to steal the customer's money.",6.06
22,"By the time anyone found out, it was already too late.",2.96
23,"According to the prosecution's lawyers, a year ago, the truth started to come out.",4.4
24,"Customers tried to get their money back, but that money, the customer's money, was gone.",4.3
25,The defendant had taken it.,1.64
26,"Now, on the other side, you have the defense, who says, yeah, FTX collapsed.",4.48
27,But Sam didn't intend to defraud anyone.,2.74
28,"Quote, Sam believed that loans that FTX made to Alameda were permitted and backed by reasonable security.",6.1
29,"But if that's true, why did things fail?",2.9
30,"Well, think of FTX like a plane.",2.44
31,Sam and his colleagues were building the plane as they were flying it.,3.48
32,"I mean, it's so easy to blame people in hindsight, but is it that simple?",3.64
33,"Quote, to listen to the government's openings, there were no employees.",3.16
34,It was Sam doing everything by himself.,1.48
35,That wasn't true.,0.8
36,"No one person, no CEO, certainly not Sam, could be everywhere.",4.32
37,"And as a result, some things got overlooked.",2.42
38,And the defense is right.,0.64
39,Eight billion things did indeed go overlooked.,2.06
40,"But their point is this, if blame is to go anywhere, look at who was actually the CEO of Alameda Research at the time.",5.46
41,It wasn't Sam.,0.6
42,"It was his ex-girlfriend, Caroline Ellison.",1.98
43,"Speaking of Caroline, she's going to be testifying later against Sam in this trial.",4.12
44,So the defense is eager to discredit her and the other FTX executives who are also testifying against Sam.,6.24
45,"The defense says that all these people entered cooperation agreements, which incentivizes them to testify against Sam and make him sound as bad as possible to get their sentence lessened.",9.64
46,"Or as they would put it, quote, are they spinning things that Sam said that were good faith business decisions and now claiming they were sinister and they knew it all along?",9.3
47,That's the story of the prosecution and the defense.,2.88
48,Elaborate fraud or well-meaning failure.,2.34
49,"Before you make up your mind, though, know that neither of these two have really presented much evidence.",5.22
50,"So to believe either of their stories, that's really what we're waiting for.",3.76
51,"And of course, that's going to come through witnesses.",2.18
52,"Speaking of witnesses, this is where things get pretty lopsided, to be honest.",4.78
53,The prosecution has all the witnesses.,2.78
54,"They have pages of witnesses, while the defense basically has none, except for Sam himself, who probably shouldn't take the stand.",8.36
55,So everyone you'll be hearing from today is testifying against Sam.,3.5
56,"And with that in mind, let's kick off with our first witness.",2.52
57,"It's a customer of FTX, Mark Anthony Julliard.",2.56
58,"Now, the first thing we find out is that Mark had $100,000 on FTX right before everything collapsed.",5.02
59,And he saw Sam Bankman-Fried tweet this.,3.1
60,FTX is fine.,1.06
61,Assets are fine.,0.98
62,FTX has enough to cover all client holdings.,2.38
63,"We don't invest client assets, even in treasuries.",2.62
64,"And Mark, seeing this and trusting Sam, didn't withdraw his money in early November, only to realize later he couldn't withdraw it and FTX declared bankruptcy.",7.94
65,"The point is Mark was hurt because Sam Bankman-Fried lied about FTX being fine, or so the prosecution says.",6.74
66,"Now, the defense's turn came to cross-examine him.",2.82
67,"And they said, hey, you knew crypto was new and also a risky asset, didn't you?",5.68
68,Yes.,0.42
69,You could make a lot.,1.04
70,You could also lose a lot.,0.86
71,Yes.,0.3
72,The defense asked Mark if he had read the terms of service.,2.24
73,"Mark said he did not, which I get what they're doing here.",2.84
74,Just kind of making him seem reckless.,1.8
75,"But I found it personally beside the point, which is that SBF lied about the health of his company.",5.7
76,I found it unconvincing.,1.44
77,But you guys know I'm a little biased here.,1.8
78,"Now, up next, the prosecution calls their next witness, Adam Yedidia, who is a long-term friend of Sam Bankman-Fried.",7.8
79,"Not only that, Adam worked at FTX, and he was asked to explain why he abruptly quit one day.",5.78
80,"He says, quote, I learned that Alameda Research had used customer deposits to pay back its loans to creditors, which might sound bad, but it's about to get a lot worse.",9.42
81,"All right, Adam Yedidia is still up, and he explains that early on, FTX had trouble opening its own bank account.",6.16
82,"So to get customer money in, quote, the deposits were received in a different bank account labeled the North Dimension Bank Account.",6.86
83,Who controlled it?,0.84
84,"Alameda, according to Adam.",1.54
85,"Adam claims that if he knew Alameda was spending the money, it would have raised concerns for him.",4.74
86,Why?,0.34
87,"Well, then the money wouldn't be there for the customer if the customer wanted it.",3.96
88,And here's where we learned about an account called the fiatatftx.com account.,5.02
89,This was the internal account where FTX tracked how much Alameda owed them for their customer deposits.,6.94
90,Why is this important?,1.06
91,"Well, Adam found out by looking at it one day that Alameda owed FTX $8 billion in 2022, which concerned him.",7.54
92,"Quote, I had a conversation with Sam.",1.66
93,What was your reaction to this $8 billion liability that led to your conversation with Sam?,4.08
94,It concerned me.,0.82
95,Why did it concern you?,1.3
96,"It seemed like a lot of money for Alameda to be owing FTX, and I wanted to be certain that Alameda could repay that debt.",6.96
97,"Spoiler alert, it couldn't.",2.24
98,"Now, Sam allegedly responded at the time, we were bulletproof last year, being 2021, but we're not bulletproof this year.",7.94
99,"In cross-examination, the defense tried to ask Adam about Sam's car, which if that feels unrelated to this point, it is.",8.68
100,"They say, Do you know what car he did drive?",2.98
101,No.,0.22
102,Did you recall seeing a Toyota Corolla?,2.44
103,"In terms of clothes, he didn't buy fancy clothes, right?",3.42
104,I didn't see him wear fancy clothes.,1.98
105,"To be honest, I felt this was a big miss for the defense to tackle the actual issue.",4.24
106,"The prosecution is claiming Sam knew how bad things were and chose to lie about it, so that kind of went unanswered.",6.42
107,"And speaking of the prosecution, Matt Huang is up next.",3.42
108,"Now, Matt works for Paradigm, as we would learn, which invested almost $300 million in FTX.",6.62
109,"But before they did that, they were worried about Alameda getting special treatment on FTX, to which Matt emailed them, worrying about value leakage through Alameda.",9.68
110,"Matt claims, Quote, I recall that we were told there was no preferential treatment for Alameda.",5.66
111,"This, we would soon find out, was a lie, when the next witness, Gary Wang, took the stand, after another disappointing cross-examination by the defense.",9.02
112,"Now, who's Gary Wang?",1.3
113,He's really important.,0.92
114,He's the co-founder of both FTX and Alameda Research.,4.04
115,He's super important because he was present for all the big moments.,3.52
116,And he claims basically the opposite of Sam.,2.8
117,Sam said there was no preferential treatment of Alameda.,2.14
118,"Gary says, We gave special privileges to Alameda Research on FTX, which allowed it to withdraw unlimited amounts of funds from the platform, and we lied about this to the public.",9.14
119,"Now, remember, the jury just heard from our last witness that there was no special privileges.",4.28
120,"And then the co-founder's like, Yeah, we did.",2.38
121,And we lied.,0.52
122,We lied about it.,0.8
123,This entire section was pretty horrible for the defense.,2.86
124,"Gary's asked, Did you commit financial crimes while working at FTX?",4.34
125,Yes.,0.28
126,Did you commit these crimes by yourself or with other people?,3.34
127,With other people.,0.6
128,Who are the main other people?,1.42
129,"Sam Begma-Free, Nishant Singh, and Caroline Ellison.",2.64
130,"Now, all those other people took cooperation agreements against Sam.",3.8
131,"So it's like they're all just, it's like all the people who are at this company are all pointing their finger at this one guy.",6.52
132,But we're not even done yet.,1.16
133,"Today, the prosecution shows Gary Wang's code, which he wrote for FTX, which gave Alameda Research special privileges.",7.92
134,"In it, there's this special function they created called allowNegative, which was switched on for Alameda Research and basically no one else.",7.94
135,"In the code, they show that if an account had that, they were allowed to have negative balances without anything happening.",6.98
136,"Now, this meant two things.",1.14
137,"One, if Alameda Research made a bad trade, nothing happened.",3.74
138,"And two, it allowed Alameda to basically have infinite withdrawals from FTX.",4.94
139,"Again, from the transcript, Question, so did this special advantage allow Alameda to make unlimited withdrawals off the FTX exchange?",7.68
140,Yes.,0.32
141,"If Alameda's account balance was zero or negative and it used this special advantage to withdraw Bitcoin, whose Bitcoin would it be withdrawing?",7.54
142,"Answer, from customers.",1.72
143,It would be withdrawing customers' Bitcoin.,2.3
144,"Now, that says it all.",1.44
145,And the point of this testimony is not just to highlight that Alameda could and did steal money from customers.,5.5
146,"It was also showing that Sam was kind of willing to lie about that fact because the prosecution then shows a tweet from 2019 when Sam is asked once again about conflicts of interest running FTX and a trading firm, Alameda, which runs their trades on FTX.",15.32
147,Sam's response was that Alameda's account is just like everyone else's.,4.3
148,And the beating didn't stop there.,1.6
149,The prosecution then hammered Sam on this like insurance fund thing they had.,4.64
150,"If you don't know what that is, basically, in the event that FTX took losses, they claimed that there was this insurance fund, which they bragged in a tweet was worth over a hundred million dollars.",11.5
151,"Gary Wang then explained that the purpose of this fund was this, quote, if an account does not get liquidated in time, that other customers of FTX won't be affected.",10.42
152,Makes sense.,0.52
153,And a hundred million dollar insurance fund does sound comforting.,2.84
154,If it were true.,1.38
155,"Turns out, FTX lied.",1.68
156,"Question, was the number on this tweet accurate?",2.34
157,"Answer, no.",0.62
158,Why not?,0.54
159,"For one, there's no FTT in the insurance fund.",3.02
160,"And two, the number does not match.",2.44
161,What do you mean it does not match?,1.68
162,The number in the databases was a different number.,2.98
163,"Question, is it a real number?",1.42
164,"Answer, no.",0.9
165,So it's a fake number.,0.8
166,Yes.,0.28
167,Was the real number higher or lower than the fake number?,2.88
168,Lower.,0.38
169,So they just fake the dubber to look better.,3.34
