index,sentence,length
0,Hello.,0.52
1,"As you can probably hear, we're in the middle of a city.",3.5
2,"Because today, instead of doing a normal video like a road test or a track test or a drag race or something like that, we're going to go on a little bit of a mini throttle house adventure.",11.08
3,"Yeah, because we featured Rolls Royces before, and they're fancy, but the Spectre is a slightly different beast, one that they're still charging half a million dollars for.",10.14
4,"And if you're a half-million-dollar passenger car, you have to be the best, the superlative.",6.42
5,"That's a number that makes everyone from the nation this is made say, oh, blimey, I've got a cheap charge on that.",7.48
6,Bloody hell.,0.82
7,I'll just translate that.,0.92
8,"It's very bold of them to charge that much money, isn't it?",4.44
9,Bloody hell.,0.42
10,Wow.,0.6
11,"Yeah, so we've devised four tests that we think represent the four pillars of what makes a Rolls Royce a Rolls Royce.",8.54
12,That is the ultimate motor car.,3.08
13,The ultimate motor car.,2.54
14,It's my voice.,0.4
15,It's my voice.,0.36
16,It's my announcer voice.,0.94
17,It's my voice.,0.96
18,They're used to hearing it.,0.9
19,"No, I know.",0.34
20,You're just mad that your voice can't go that low.,1.54
21,"No, it can.",0.52
22,The ultimate.,1.42
23,The ultimate motor car.,1.48
24,"No, you can't do it.",0.58
25,That's why I did the line.,0.8
26,You see?,0.24
27,Rolls Royce.,0.46
28,It's a Rolls Royce.,0.54
29,"Even though its starting price puts it between the Ghost and the Phantom, the Spectre, in more ways than one, is a successor to the Phantom Coupe, a car that Rolls-Royce say was their previously sexiest offering.",15.34
30,"A car that, like many Rolls Royces before and after it, had the beating heart of a carefully designed V12 silky engine.",9.06
31,"So we have to wonder, has some of that magic gone, because the new Spectre is a pure EV.",6.72
32,"Rolls can use all the fancy terminology they want, but now the chasm in propulsion technology between this half million dollar Rolls Royce and, I don't know, a Kia, is narrower than ever.",13.56
33,"So for Rolls to really wow us now, it must pass these tests with flying colours, starting with the cornerstone of the brand, effortlessness.",14.96
34,What is effortlessness?,8.8
35,Effortlessness.,0.68
36,Effortlessness.,0.5
37,Yes.,0.36
38,"So we've always said, when we've tackled the luxury stuff, that the pinnacle of luxury is minimum input, maximum output.",7.98
39,"So as a driver or a passenger of this car, I don't want to part with one calorie.",5.6
40,No.,0.18
41,Nothing must be burned.,1.08
42,I don't want to feel tension in my neck as we accelerate.,2.32
43,I just want to melt.,1.76
44,I want to feel boneless.,1.16
45,I am immediately melting in this car.,2.66
46,It's just instantly different.,3.04
47,"It's instantly different, James, to anything else that you drive.",2.84
48,"The steering's light as well, even for the driver.",2.0
49,"Oh, it should be.",0.56
50,A Rolls Royce must be piloted with one pinky.,2.92
51,That's probably in the book.,1.06
52,I just made that up.,0.5
53,Easily.,0.3
54,Easily.,0.48
55,Look at you go.,1.02
56,"Oh, that's just crazy, isn't it?",1.88
57,"This thing weighs over 6,000 pounds and you have turned it around a corner with a pinky finger.",5.56
58,I think I may have lost three calories there.,1.78
59,It's unacceptable.,0.84
60,But the other thing is the effortlessness in power because we've lost the V12.,5.64
61,We have.,0.38
62,The twin turbo V12.,1.32
63,The twin turbo V12.,0.74
64,Now we are down to just electric motors.,2.9
65,Yes.,0.18
66,577 horsepower.,1.54
67,Yep.,0.02
68,"Actually, that cut in harder than I thought it would.",2.48
69,I was expecting Rolls Royce to attenuate our acceleration a little bit more than that.,5.34
70,You can feel the weight on braking.,3.02
71,You can feel that.,0.7
72,That's rapid.,0.72
73,"properly That is fast, yeah.",1.14
74,I was not expecting that.,1.2
75,0-60 in just under four and a half seconds.,1.8
76,"I'm pretty sure that the guy that gave us the presentation of this car was like, oh, we don't want passengers.",3.92
77,"No, he said we don't want two point something seconds.",2.64
78,Right.,0.3
79,So four seconds or near abouts in an EV still feels crazy quick.,4.94
80,Yeah.,0.18
81,I mash it.,1.16
82,It's still smooth.,1.86
83,"Oh, this is...",0.7
84,"That's actually a little bit unnerving, honestly.",2.04
85,OK.,0.38
86,"Well, you're not going to believe how fast that was just then.",2.48
87,This might win the prize for hiding speed even more than like the M5s.,4.64
88,Right.,0.62
89,That was mad.,1.18
90,"I'm sorry, Toronto police.",1.1
91,"I mean, we went...",1.72
92,For nothing.,0.48
93,Because we were going exactly 100 kilometers an hour.,2.1
94,Yeah.,0.18
95,But that was...,0.72
96,I looked down and we had already decelerated for a couple seconds and I saw the speed.,3.46
97,As long as you're in the fast lane.,0.84
98,It did absolutely not feel...,3.32
99,"Oh, wow.",1.26
100,That is...,0.82
101,"Look, you know what?",0.74
102,That's probably the ultimate expression of effortlessness I think I've ever seen.,2.92
103,No.,0.18
104,True effortlessness is how a Rolls Royce deals with tarmacular adversity.,5.08
105,Wait.,0.36
106,Before we do that...,1.68
107,Oh.,0.4
108,James?,0.32
109,Yeah?,0.2
110,I'm wafting by the CN Tower.,1.92
111,You are.,0.38
112,In a gold Rolls Royce.,0.8
113,In a gold Rolls Royce.,1.22
114,Let's go find some more challenging roads.,1.78
115,OK.,0.16
116,All right.,0.2
117,We're going to turn off.,0.62
118,Rogers.,0.28
119,Here we are.,0.82
120,Tram-lined.,1.12
121,Yeah.,0.2
122,We've picked the right city.,1.14
123,We've picked the right city.,0.6
124,Yeah.,0.18
125,Terrible roads.,0.66
126,These are terrible roads.,0.88
